n_inmueble;area;cuartos;aseos;precio;distrito;n_school;dist_nearest_school;n_hospital;dist_nearest_hosp;n_malls;dist_nearest_mall;n_rest;dist_nearest_rest;n_supermarket;dist_nearest_super;n_bank;dist_nearest_bank
31;135.0;3.0;3.5;169900.0;Surquillo;52;0.04399560329136636;18;0.15679651222209096;24;0.017728547227087103;60;0.08364698800459136;5;0.5420934997470217;13;0.20231925939704268
32;218.0;3.0;3.0;468000.0;Chorrillos;43;0.03285698049519914;7;0.2597333421392921;9;0.17885584343368285;60;0.09436452742487574;3;0.30336731601433703;14;0.2333993285239819
33;110.0;5.0;2.0;93000.0;Cercado de Lima;60;2.766988511838882e-12;29;2.7669923337661934e-12;60;2.766988511838882e-12;60;2.766988511838882e-12;10;2.7669923337661934e-12;22;2.7669923337661934e-12
34;291.0;3.0;5.0;620000.0;San Borja;39;1.3832313775818344e-12;4;0.2147498370649052;8;1.3832313775818344e-12;34;0.16972094956635564;6;0.026360758449508158;13;0.026360758449508158
35;290.0;3.0;3.0;1145400.0;San Isidro;10;0.07901768449452261;2;0.07804085735857601;0;0.8657848845807896;18;0.4497306506276356;3;0.29322326651440483;6;0.06881263394300982
36;470.0;3.0;4.0;1650000.0;San Isidro;60;0.11834076591272916;11;0.029550539630629907;44;0.12378309353456055;60;0.11921761947575818;5;0.3955745434849856;43;1.3832338076893942e-12
37;550.0;4.0;4.0;1800000.0;Chorrillos;46;0.10492267532589572;9;0.2542057670206351;8;0.34374321327275154;60;0.17852350486199167;3;0.4303547499292816;9;0.3795924434883951
38;150.0;3.0;3.0;300000.0;San Isidro;26;0.0763240055017728;30;0.246959915525072;8;0.3463498228163225;60;0.2259408382403069;3;0.4963668109210171;9;0.2247013442171949
39;240.0;3.0;3.5;456000.0;Santiago de Surco;3;0.3038854901536355;1;0.1366172409645032;0;0.8049787560228809;8;0.12254718110157092;0;0.7898847977311493;0;0.7128769188269175
40;270.0;3.0;3.5;1100000.0;Barranco;60;1.3829906075911351e-12;7;0.14018691609288622;9;0.12658543989351242;60;1.3829906075911351e-12;5;0.21222278681094112;14;0.0420563397507221
41;634.0;4.0;4.5;1580000.0;San Isidro;60;0.11834076591272916;11;0.029550539630629907;44;0.12378309353456055;60;0.11921761947575818;5;0.3955745434849856;43;1.3832338076893942e-12
42;149.0;2.0;4.0;250000.0;Santiago de Surco;6;0.24468797482433785;2;0.6493349570149217;3;0.6146747423276494;11;0.2754129152889521;3;0.6560690167799889;5;0.4723771156176487
43;306.0;3.0;2.5;565000.0;Barranco;60;1.3829906075911351e-12;7;0.14018691609288622;9;0.12658543989351242;60;1.3829906075911351e-12;5;0.21222278681094112;14;0.0420563397507221
44;362.0;4.0;3.5;300000.0;Santiago de Surco;39;0.04959366384795271;3;0.04302556593405275;10;4.149004819206899e-12;60;4.149004819206899e-12;6;0.2257176690131484;6;0.03172496623752349
45;165.0;3.0;3.0;580000.0;San Isidro;60;0.11834076591272916;11;0.029550539630629907;44;0.12378309353456055;60;0.11921761947575818;5;0.3955745434849856;43;1.3832338076893942e-12
46;260.0;3.0;3.5;1000000.0;Barranco;60;1.3829906075911351e-12;7;0.14018691609288622;9;0.12658543989351242;60;1.3829906075911351e-12;5;0.21222278681094112;14;0.0420563397507221
47;101.0;4.0;2.0;147000.0;Pueblo Libre;56;0.07203099545920016;13;0.010666563196515865;11;0.1371724132823588;60;0.17043404644220714;3;0.19873128509984714;6;0.1041508375489292
48;190.0;3.0;3.0;205000.0;Punta Hermosa;1;0.4318950602235016;0;0.7624741512524962;0;2.746029695862535;7;0.2099368958994362;0;0.9731454681611452;0;0.9935525651800536
49;150.0;3.0;4.0;245000.0;Santiago de Surco;29;0.27744977306878904;1;0.2328028274865029;7;0.6523441896435221;21;0.3020579230596369;0;0.8884236189430478;3;0.5905865523852752
50;141.0;3.0;3.0;271000.0;Santiago de Surco;40;0.12131432220938147;16;0.17370417812217193;22;0.1103268591506439;60;0.07920430310022468;4;0.2220721501899172;26;0.1271240137135151
51;260.0;3.0;3.5;970000.0;San Isidro;10;0.1158702641690146;2;0.09191251953308358;0;0.7534621185586436;17;0.4871800892741573;2;0.3359512131937194;7;0.19316968562685674
52;179.0;3.0;2.5;466908.0;Miraflores;19;0.02227459106418461;7;0.11597756502620173;3;0.28371878064810896;60;0.13981211451600312;5;0.3024069550738165;7;0.1984150519153789
53;402.0;3.0;3.5;1377000.0;Miraflores;45;0.10018155218191743;3;0.1445817428865007;8;0.27917954142246704;60;0.11348849323575315;7;0.2235729664969712;16;0.27917576499234864
54;179.0;3.0;2.5;466908.0;Miraflores;19;0.02227459106418461;7;0.11597756502620173;3;0.28371878064810896;60;0.13981211451600312;5;0.3024069550738165;7;0.1984150519153789
55;53.0;3.0;1.0;85000.0;Rimac;39;0.1520463709270155;10;0.07345645827434767;9;0.11465683800409125;56;0.10397973265983196;4;0.43742699522397976;4;0.4789900127661005
56;490.0;3.0;3.5;2300000.0;San Isidro;14;0.13746675522744728;4;0.18802653446862871;2;0.6367291955665911;29;0.5499626466264435;1;0.2091873703469528;13;0.2813201845871782
57;710.0;4.0;4.5;2814000.0;Barranco;60;1.3829906075911351e-12;7;0.14018691609288622;9;0.12658543989351242;60;1.3829906075911351e-12;5;0.21222278681094112;14;0.0420563397507221
58;183.0;3.0;3.5;456524.0;Miraflores;19;0.02227459106418461;7;0.11597756502620173;3;0.28371878064810896;60;0.13981211451600312;5;0.3024069550738165;7;0.1984150519153789
59;270.0;3.0;3.5;1170000.0;Barranco;60;1.3829906075911351e-12;7;0.14018691609288622;9;0.12658543989351242;60;1.3829906075911351e-12;5;0.21222278681094112;14;0.0420563397507221
60;63.0;1.0;2.0;150690.0;Surquillo;60;0.10787993864364476;23;0.1199074961006036;60;0.12146928252596945;60;0.04390559220522502;10;0.15027272419801666;33;0.2581633926107326
61;79.0;2.0;2.0;244117.0;Barranco;60;1.3829906075911351e-12;7;0.14018691609288622;9;0.12658543989351242;60;1.3829906075911351e-12;5;0.21222278681094112;14;0.0420563397507221
62;179.0;3.0;2.5;466908.0;Miraflores;30;0.09345193462197172;5;0.4155215654715199;4;0.35560556933686444;60;2.766260518155312e-12;1;0.6631924273408386;6;0.2095887602778674
63;221.0;3.0;3.0;182000.0;San Martin de Porres;37;0.06883604539710822;11;0.5351559443529368;10;0.1724662433016949;56;0.05431910885272386;0;0.7474888762556479;4;0.18871654082059133
64;105.0;2.0;3.0;220000.0;Miraflores;60;0.13707334217193362;22;0.10088483848764558;60;0.041077736889381065;60;0.10743511370625833;12;0.1968562468218951;39;0.1033541147247316
65;212.0;3.0;3.0;260000.0;La Molina;13;0.12489067284407812;2;0.4155200036579516;6;0.311399972673062;26;0.1513958692455836;3;0.29125566918545504;11;0.2184080268337704
66;179.0;3.0;2.5;466908.0;Miraflores;19;0.02227459106418461;7;0.11597756502620173;3;0.28371878064810896;60;0.13981211451600312;5;0.3024069550738165;7;0.1984150519153789
67;136.0;2.0;2.0;205000.0;Santiago de Surco;39;0.04959366384795271;3;0.04302556593405275;10;4.149004819206899e-12;60;4.149004819206899e-12;6;0.2257176690131484;6;0.03172496623752349
68;195.0;3.0;3.0;480000.0;San Isidro;24;0.1500609612985482;7;0.06497773999317016;5;0.3322395161173369;42;0.2149141633402332;2;0.5769780807777113;19;0.3097759462032268
69;95.0;3.0;3.0;135000.0;San Miguel;27;0.2676775172224097;10;0.4151636379967508;3;0.061977174062363916;60;0.0750631721551799;3;0.4029600110013042;5;0.5612258013311753
70;110.0;3.0;3.0;198000.0;Jesus Maria;60;0.031589635456772965;28;0.0020653016017353238;8;0.04542573309819349;60;0.13311220864077614;6;0.5761606198566533;8;0.3496655991705501
71;1371.0;3.0;3.5;10500000.0;San Isidro;18;0.4146980681485664;2;0.4140352434867268;8;0.4800584298693488;47;0.4079146113645317;4;0.5184771476054263;27;0.4264162093965708
