n_inmuebles;titulo;distrito;area;cuartos;aseos;latitud;longitud;precio;
34;Duplex en Venta Chacarilla Del Estanque, San Borja, Lima;San Borja;291.0;3.0;5.0;-12.0972833;-76.99510409999998;620000.0;
35;Departamento en Venta Golf Club, San Isidro, Lima;San Isidro;290.0;3.0;3.0;-12.1030104;-77.04675900000002;1145400.0;
36;Penthouse en Venta Calle Alvarez Calderón, San Isidro, Lima;San Isidro;470.0;3.0;4.0;-12.0971829;-77.03258499999998;1650000.0;
37;Penthouse en Venta Malecon Grau # 260, 5to Piso,chorrillos, Lima, Chorrillos, Lima;Chorrillos;550.0;4.0;4.0;-12.164267500000001;-77.02458360000003;1800000.0;
38;Departamento en Venta Av. Parque Del Norte Cda. 7 San Isidro, San Isidro, Lima;San Isidro;150.0;3.0;3.0;-12.092555599999999;-77.01538019999998;300000.0;
39;Departamento en Venta Cerros De Camacho, Santiago De Surco, Lima;Santiago de Surco;240.0;3.0;3.5;-12.085336400000001;-76.96179959999999;456000.0;
40;Departamento en Venta Malecón Pazos N°1xx, Dpto. 701 A, Urb. Pazos, Barranco, Lima;Barranco;270.0;3.0;3.5;-12.1437266;-77.01902280000002;1100000.0;
41;Duplex en Venta Basadre  15xx, San Isidro, Lima;San Isidro;634.0;4.0;4.5;-12.0971829;-77.03258499999998;1580000.0;
42;Departamento en Venta Los Amancaes, Santiago De Surco, Lima;Santiago de Surco;149.0;2.0;4.0;-12.089811300000001;-76.95651399999997;250000.0;
43;Departamento en Venta Malecón Castilla N° 1xx Dpto. 101, Barranco, Lima;Barranco;306.0;3.0;2.5;-12.1437266;-77.01902280000002;565000.0;
44;Penthouse en Venta Calle La Chira N°1xx, Dpto. 502, Urb. Las Gardenias, Santiago De Surco, Lima;Santiago de Surco;362.0;4.0;3.5;-12.1416088;-76.99181550000003;300000.0;
45;Departamento en Venta Av.pezet Con Alvarez Calderon. San Isidro, San Isidro, Lima;San Isidro;165.0;3.0;3.0;-12.0971829;-77.03258499999998;580000.0;
46;Departamento en Venta Malecón Pazos N°1xx, Dpto. 702b, Urb. Pazos, Barranco, Lima;Barranco;260.0;3.0;3.5;-12.1437266;-77.01902280000002;1000000.0;
47;Departamento en Venta Calle Paso De Los Andes N°6xx, Dpto. 601, Pueblo Libre, Lima;Pueblo Libre;101.0;4.0;2.0;-12.071128300000002;-77.05968439999998;147000.0;
48;Duplex en Venta Playa Blanca, Punta Hermosa, Lima;Punta Hermosa;190.0;3.0;3.0;-12.339901080870687;-76.819459394751;205000.0;
49;Departamento en Venta Calle Las Fresias 235, Santiago De Surco, Lima;Santiago de Surco;150.0;3.0;4.0;-12.072744199999999;-76.96831159999998;245000.0;
50;Departamento en Venta Calle Urcon 1xx, Santiago De Surco, Lima;Santiago de Surco;141.0;3.0;3.0;-12.107448300000001;-76.97303149999998;271000.0;
51;Departamento en Venta Calle Manzanilla, San Isidro, Lima;San Isidro;260.0;3.0;3.5;-12.1031084;-77.04556609999997;970000.0;
52;Departamento en Venta Malecón De La Marina N°11xx, Dpto. 1401 A, Miraflores, Lima;Miraflores;179.0;3.0;2.5;-12.113242199999998;-77.0494577;466908.0;
53;Departamento en Venta Miraflores, Lima;Miraflores;402.0;3.0;3.5;-12.1327014;-77.02451109999998;1377000.0;
54;Departamento en Venta Malecón De La Marina N°11xx, Dpto. 1501 A, Miraflores, Lima;Miraflores;179.0;3.0;2.5;-12.113242199999998;-77.0494577;466908.0;
55;Departamento en Venta Jr Villacampa 399, Rimac, Lima;Rimac;53.0;3.0;1.0;-12.033885077163394;-77.0343066772461;85000.0;
56;Departamento en Venta Parque Privado, San Isidro, Lima;San Isidro;490.0;3.0;3.5;-12.1050409;-77.04549179999998;2300000.0;
57;Departamento en Venta Malecón Pazos N°1xx, Dpto. 102 A, Urb. Pazos, Barranco, Lima;Barranco;710.0;4.0;4.5;-12.1437266;-77.01902280000002;2814000.0;
58;Departamento en Venta Malecón De La Marina N°11xx, Dpto. 201 B, Miraflores, Lima;Miraflores;183.0;3.0;3.5;-12.113242199999998;-77.0494577;456524.0;
59;Departamento en Venta Malecón Pazos N°1xx, Dpto. 401 A, Urb. Pazos, Barranco, Lima;Barranco;270.0;3.0;3.5;-12.1437266;-77.01902280000002;1170000.0;
60;Departamento en Venta Av. Paseo De La República 5181 , Surquillo, Surquillo, Lima;Surquillo;63.0;1.0;2.0;-12.1164368;-77.02554580000003;150690.0;
61;Departamento en Venta Avenida El Sol Oeste, Barranco, Lima;Barranco;79.0;2.0;2.0;-12.1437266;-77.01902280000002;244117.0;
62;Departamento en Venta Malecón Malecon De La Marina N°11xx, Dpto. 1401 A, Miraflores, Lima;Miraflores;179.0;3.0;2.5;-12.1168099;-77.04683890000003;466908.0;
63;Duplex en Venta Santa María 251, San Martin De Porres, Lima;San Martin de Porres;221.0;3.0;3.0;-12.0213241;-77.06143939999998;182000.0;
64;Departamento en Venta Calle Diez Canseco Cda. 5, Miraflores, Lima;Miraflores;105.0;2.0;3.0;-12.121802588770551;-77.0241394087372;220000.0;
65;Duplex en Venta Calle Las Secoyas, A 1 Cuadra De Ferrero, La Molina, Lima;La Molina;212.0;3.0;3.0;-12.092678427908485;-76.95346822241208;260000.0;
66;Departamento en Venta Malecón Malecon De La Marina N°11xx, Dpto. 1501 A, Miraflores, Lima;Miraflores;179.0;3.0;2.5;-12.113242199999998;-77.0494577;466908.0;
67;Departamento en Venta Surco, Santiago De Surco, Lima;Santiago de Surco;136.0;2.0;2.0;-12.1416088;-76.99181550000003;205000.0;
68;Departamento en Venta Calle Jose Granda 2xx Piso 2, San Isidro, Lima;San Isidro;195.0;3.0;3.0;-12.097562599999998;-77.05137209999998;480000.0;
69;Departamento en Venta Avenida Precursores 460, San Miguel, Lima;San Miguel;95.0;3.0;3.0;-12.0698627;-77.09244639999997;135000.0;
70;Departamento en Venta Av. Arnaldo Marquez Cda. 20, Jesus Maria, Lima;Jesus Maria;110.0;3.0;3.0;-12.080967153848636;-77.05552993553466;198000.0;
71;Penthouse en Venta Pezet, San Isidro, Lima;San Isidro;1371.0;3.0;3.5;-12.1026734;-77.04258370000002;10500000.0;
72;Departamento en Venta Golf Los Incas 415, Santiago De Surco, Lima;Santiago de Surco;175.0;3.0;3.0;-12.09124985524178;-76.96690498570558;330000.0;
73;Departamento en Venta Ca. Los Sauces 377, San Isidro, Lima;San Isidro;209.0;4.0;3.5;-12.0922395;-77.03788880000002;559000.0;
74;Departamento en Venta Urb.colmenares, Pueblo Libre, Lima;Pueblo Libre;138.0;3.0;2.0;-12.076970797107524;-77.06952649143216;215000.0;
75;Departamento en Venta Av. Paseo De La Republica, Barranco, Lima;Barranco;85.0;3.0;2.0;-12.135838699999999;-77.0179152;173920.0;
76;Departamento en Venta Av. Tomas Marsano 1623, Surquillo, Lima;Surquillo;91.0;3.0;3.0;-12.1185489;-77.00779799999998;142000.0;
77;Departamento en Venta Velazco Astete 3xx, San Borja, Lima;San Borja;164.0;3.0;4.0;-12.095168911770948;-76.98567331534424;321000.0;
