n_inmuebles;titulo;distrito;area;cuartos;aseos;latitud;longitud;precio;
2062;Departamento en Venta Santa Beatriz, Cercado De Lima, Lima;Cercado de Lima;75.0;2.0;2.0;-12.046374;-77.04279340000001;119000.0;
2063;Departamento en Venta Melitón Porras 300, Miraflores, Lima;Miraflores;104.0;2.0;2.5;-12.134160071962132;-77.02401674174196;280000.0;
2064;Departamento en Venta Av. General Juan Antonio Pezet 900, San Isidro, Lima;San Isidro;318.0;3.0;3.5;-12.1029366;-77.04725300000001;990000.0;
2065;Duplex en Venta Santiago De Surco, Lima;Santiago de Surco;188.0;3.0;2.0;-12.1297454;-77.00328869999998;280000.0;
2066;Duplex en Venta Calle Miguel Aljovin 400, Miraflores, Lima;Miraflores;140.0;3.0;3.0;-12.1295295;-77.01690659999997;300000.0;
2067;Departamento en Venta Hefestos 479, Ate, Lima;Ate;105.0;4.0;3.0;-12.0741885;-76.97722650000003;120000.0;
2068;Departamento en Venta Av. Soldado Manuel Castañeda, Cercado De Lima, Lima;Cercado de Lima;84.0;3.0;2.0;-12.046374;-77.04279340000001;126050.0;
2069;Departamento en Venta Ignacio Merino, Miraflores, Lima;Miraflores;100.0;3.0;2.0;-12.114256048697287;-77.04675560080261;190000.0;
2070;Departamento en Venta Av.brigida Silva De Ochoa Cdra 1, San Miguel, Lima;San Miguel;78.0;3.0;2.0;-12.0785927;-77.08688380000002;105000.0;
2071;Departamento en Venta Sevilla, Santiago De Surco, Lima;Santiago de Surco;98.0;3.0;2.0;-12.1416088;-76.99181550000003;220000.0;
2072;Departamento en Venta Santiago De Surco, Lima;Santiago de Surco;74.0;3.0;2.0;-12.182439500000001;-77.00778570000001;108000.0;
2073;Departamento en Venta Calle Las Fresas, Santiago De Surco, Lima;Santiago de Surco;149.0;3.0;4.0;-12.1416088;-76.99181550000003;245000.0;
2074;Departamento en Venta Av Parque Sur, Corpac, San Isidro;San Isidro;145.0;2.0;2.0;-12.104129940635294;-77.01278282170409;368000.0;
2075;Departamento en Venta Calle Isla San Martín, Chorrillos, Lima;Chorrillos;127.0;4.0;3.0;-12.1876499;-77.00776359999998;134000.0;
2076;Departamento en Venta Villaran 428, Miraflores, Lima;Miraflores;217.0;3.0;5.0;-12.123341400000001;-77.00734640000002;400000.0;
2077;Departamento en Venta Av. Tudela Y Varela, San Isidro, Lima;San Isidro;222.0;3.0;3.5;-12.1092257;-77.0413547;733590.0;
2078;Duplex en Venta Alameda De Los Horizontes, Chorrillos, Lima;Chorrillos;137.0;2.0;2.0;-12.2041783;-77.00808469999998;80000.0;
2079;Departamento en Venta Jr Pomabamba Cdra 3, Bre�a, Lima;Bre�a;66.0;3.0;2.0;-12.0584783;-77.05066169999998;58000.0;
2080;Departamento en Venta Av. Velasco Astete 200, San Borja, Lima;San Borja;213.0;3.0;3.0;-12.092811900000001;-76.98568080000003;360000.0;
2081;Departamento en Venta Calle Sauces, San Borja, Lima;San Borja;140.0;3.0;2.0;-12.0868237;-76.98759789999997;260000.0;
2082;Departamento en Venta Av. Caminos Del Inca, Santiago De Surco, Lima;Santiago de Surco;104.0;3.0;2.0;-12.1416088;-76.99181550000003;118000.0;
2083;Departamento en Venta Av. Mariscal Sucre N° 1467, 5° Y 6° Piso, Magdalena Del Mar, Lima;Magdalena del Mar;90.0;3.0;2.0;-12.08520672634906;-77.06835521290282;116417.0;
2084;Departamento en Venta Calle 24, San Borja, Lima;San Borja;130.0;4.0;3.0;-12.106135400000001;-77.0116516;205000.0;
2085;Departamento en Venta San Borja, Lima;San Borja;200.0;3.0;2.0;-12.107756599999998;-76.97984869999998;424000.0;
2086;Departamento en Venta Av. Mariscal Sucre 1467, 3° Piso, Magdalena Del Mar, Lima;Magdalena del Mar;90.0;3.0;2.0;-12.085311636892117;-77.06826938221434;119118.0;
2087;Departamento en Venta Av. San Borja Sur, San Borja, Lima;San Borja;180.0;4.0;4.0;-12.0972833;-76.99510409999998;292000.0;
2088;Departamento en Venta Santa Fe, Pueblo Libre, Lima;Pueblo Libre;168.0;2.0;2.0;-12.076004734335346;-77.06636059364013;178000.0;
2089;Departamento en Venta Av. San Felipe, Jesus Maria, Lima;Jesus Maria;112.0;3.0;2.0;-12.0750295;-77.04352890000001;189346.0;
2090;Duplex en Venta Los Laureles, San Isidro, Lima;San Isidro;480.0;3.0;4.0;-12.0971829;-77.03258499999998;1200000.0;
2091;Departamento en Venta Av. Circunvalación Del Golf, Santiago De Surco, Santiago De Surco, Lima;Santiago de Surco;570.0;5.0;5.0;-12.083260000000001;-76.96342790000001;800000.0;
2092;Duplex en Venta Av. San Felipe, Jesus Maria, Lima;Jesus Maria;99.0;3.0;2.0;-12.0750295;-77.04352890000001;178135.0;
2093;Departamento en Venta Juan Pezet, San Isidro, Lima;San Isidro;298.0;3.0;3.5;-12.102886245856633;-77.04730467252199;990000.0;
2094;Departamento en Venta Av. Huiracocha, Jesus Maria, Lima;Jesus Maria;112.0;3.0;2.0;-12.0750295;-77.04352890000001;200417.0;
2095;Departamento en Venta Parque Meliton Porras, Miraflores, Lima;Miraflores;374.0;3.0;3.0;-12.1327014;-77.02451109999998;1298000.0;
2096;Departamento en Venta Av. Roca Y Boloña, Miraflores, Lima;Miraflores;169.0;3.0;2.5;-12.120417199999999;-77.01464379999999;397004.0;
2097;Departamento en Venta Av. Juan De Aliaga, Magdalena Del Mar, Lima;Magdalena del Mar;159.0;4.0;3.0;-12.090435300000001;-77.069999;280000.0;
2098;Departamento en Venta Av.san Felipe, Jesus Maria, Lima;Jesus Maria;112.0;3.0;2.0;-12.0750295;-77.04352890000001;189351.0;
2099;Departamento en Venta Tomás Marsano 1611, Surquillo, Lima;Surquillo;170.0;3.0;3.0;-12.118503599999999;-77.00793959999999;215000.0;
2100;Departamento en Venta Calle Los Apaches 170, Santiago De Surco, Lima;Santiago de Surco;155.0;2.0;3.0;-12.106102400000001;-76.9747084;270000.0;
2101;Departamento en Venta Avenida 28 De Julio 895, Miraflores, Lima;Miraflores;90.0;3.0;2.0;-12.1287576;-77.02432920000003;218000.0;
2102;Departamento en Venta Por Av. La Merced, Santiago De Surco, Lima;Santiago de Surco;238.0;3.0;2.5;-12.1416088;-76.99181550000003;373000.0;
2103;Departamento en Venta Av. Pezet (p), San Isidro, Lima;San Isidro;311.0;3.0;4.0;-12.0909771;-77.0415013;1530000.0;
2104;Duplex en Venta Magdalena, Lima, Lima Departamento;Cercado de Lima;200.0;43.0;4.0;-12.090435300000001;-77.069999;315000.0;
2105;Departamento en Venta La Molina, Lima;La Molina;159.0;3.0;4.0;-12.118014575626182;-76.93350076675416;195000.0;
2106;Departamento en Venta La Molina, Lima;La Molina;125000.0;3.0;3.0;-12.082019599999999;-76.92823399999997;240000.0;
2107;Departamento en Venta Av. Pezet (p), San Isidro, Lima;San Isidro;407.0;3.0;4.0;-12.0909771;-77.0415013;2344000.0;
2108;Departamento en Venta Calle Teniente Romanet, San Isidro, Lima;San Isidro;320.0;4.0;4.0;-12.105275500000001;-77.04926690000002;1200000.0;
2109;Departamento en Venta Avenida Mariscal Ramón Castilla, Miraflores, Lima;Miraflores;154.0;2.0;2.0;-12.1218839;-77.01305960000002;598736.0;
2110;Duplex en Venta La Molina, Lima;La Molina;160.0;4.0;5.0;-12.082019599999999;-76.92823399999997;360000.0;
2111;Penthouse en Venta Av. Pezet (p), San Isidro, Lima;San Isidro;597.0;4.0;5.0;-12.0909771;-77.0415013;3785000.0;
2112;Departamento en Venta Calle Alfredo Salazar, San Isidro, Lima;San Isidro;216.0;3.0;3.5;-12.106575300000001;-77.04329139999999;820000.0;
2113;Duplex en Venta La Molina Vieja, La Molina, Lima;La Molina;264.0;4.0;3.0;-12.088880300000001;-76.95422400000002;290000.0;
2114;Departamento en Venta Pezet, San Isidro, Lima;San Isidro;368.0;3.0;2.5;-12.105059599999999;-77.05294520000002;877655.0;
2115;Departamento en Venta Octavio Espinoza, San Isidro, Lima;San Isidro;413.0;3.0;3.0;-12.105059599999999;-77.05294520000002;918930.0;
2116;Departamento en Venta Calle Triana, Miraflores, Lima;Miraflores;206.0;3.0;3.5;-12.111061999999999;-77.03159129999999;639954.0;
2117;Penthouse en Venta Ovalo Gutierrez, Miraflores, Lima;Miraflores;295.0;3.0;3.0;-12.11068;-77.03802539999998;850000.0;
2118;Departamento en Venta Jesus Maria, Lima;Jesus Maria;78.0;2.0;2.0;-12.081964;-77.05657180000003;172000.0;
2119;Departamento en Venta Ovalo Gutierrez, Miraflores, Lima;Miraflores;255.0;3.0;3.0;-12.105865300000001;-77.04632979999997;850000.0;
2120;Departamento en Venta Andres Vesalio Y Aviacion – San Borja, San Borja, Lima;San Borja;200.0;3.0;2.0;-12.105213;-77.000921;224190.0;
2121;Departamento en Venta Calle Teniente Romanet, San Isidro, Lima;San Isidro;305.0;3.0;3.5;-12.105275500000001;-77.04926690000002;1115000.0;
2122;Departamento en Venta Alfredo Salazar, San Isidro 15073, Perú, San Isidro, Lima;San Isidro;206.0;3.0;3.0;-12.1061489;-77.04505110000002;750000.0;
2123;Departamento en Venta Andres Vesalio Y Aviacion – San Borja, San Borja, Lima;San Borja;28.0;3.0;2.0;-12.105213;-77.000921;224190.0;
2124;Departamento en Venta Malecon Grau, Magdalena Del Mar, Lima;Magdalena del Mar;84.0;3.0;2.0;-12.090435300000001;-77.069999;175997.0;
2125;Departamento en Venta Calle Triana, Miraflores, Lima;Miraflores;94.0;1.0;1.5;-12.114431300000001;-77.04139069999997;290625.0;
2126;Departamento en Venta De Los Precursores, Santiago De Surco, Lima;Santiago de Surco;136.0;3.0;3.0;-12.1416088;-76.99181550000003;294000.0;
2127;Departamento en Venta Calle Triana, Miraflores, Lima;Miraflores;108.0;1.0;1.5;-12.114431300000001;-77.04139069999997;334056.0;
2128;Departamento en Venta Ignacio Merino (p), Miraflores, Lima;Miraflores;253.0;4.0;5.0;-12.11309;-77.045546;707196.0;
2129;Departamento en Venta Surquillo, Lima;Surquillo;75.0;3.0;1.0;-12.115734699999999;-77.01902280000002;85000.0;
2130;Duplex en Venta Monte Umbroso, Santiago De Surco, Lima;Santiago de Surco;230.0;3.0;33.0;-12.1416088;-76.99181550000003;480000.0;
2131;Departamento en Venta Ovalo Gutierrez, Miraflores, Lima;Miraflores;279.0;3.0;3.0;-12.11068;-77.03802539999998;725000.0;
2132;Departamento en Venta Parque De Las Aguas, Cercado De Lima, Lima;Cercado de Lima;75.0;3.0;2.0;-12.046374;-77.04279340000001;113535.0;
2133;Departamento en Venta Malecon De La Marina Cuadra 8, Miraflores, Lima;Miraflores;370.0;3.0;3.5;-12.1152552;-77.04842370000001;1295000.0;
2134;Departamento en Venta Pablo Olavide, La Molina, Lima;La Molina;147.0;5.0;3.0;-12.0639468;-76.9495063;195000.0;
2135;Departamento en Venta Ovalo Gutierrez, Miraflores, Lima;Miraflores;178.0;3.0;3.0;-12.106412599999999;-77.04385730000001;570000.0;
2136;Departamento en Venta Malecon Grau, Magdalena Del Mar, Lima;Magdalena del Mar;53.0;2.0;2.0;-12.0980556;-77.07102780000002;129169.0;
2137;Departamento en Venta Malecon Grau, Magdalena Del Mar, Lima;Magdalena del Mar;37.0;1.0;1.0;-12.0980556;-77.07102780000002;80848.0;
2138;Departamento en Venta Calle Triana, Miraflores, Lima;Miraflores;183.0;3.0;3.5;-12.111061999999999;-77.03159129999999;566401.0;
2139;Departamento en Venta Ovalo Gutierrez, Miraflores, Lima;Miraflores;155.0;2.0;2.0;-12.11068;-77.03802539999998;470000.0;
2140;Departamento en Venta Parque Sur, San Isidro, Lima;San Isidro;134.0;1.0;1.0;-12.0971829;-77.03258499999998;202645.0;
2141;Departamento en Venta Parque De Las Aguas, Cercado De Lima, Lima;Cercado de Lima;74.0;3.0;2.0;-12.046374;-77.04279340000001;107367.0;
2142;Departamento en Venta Cercado De Lima, Lima;Cercado de Lima;41.0;1.0;1.0;-12.048585699999999;-77.04335830000002;29500.0;
2143;Departamento en Venta Av. Arequipa, Cercado De Lima, Lima;Cercado de Lima;74.0;3.0;2.0;-12.074936;-77.03160279999997;109277.0;
2144;Departamento en Venta Cercado De Lima, Lima;Cercado de Lima;41.0;1.0;1.0;-12.048585699999999;-77.04335830000002;29500.0;
2145;Departamento en Venta Nuevo Rancho, Miraflores, Lima;Miraflores;280.0;3.0;2.0;-12.111061999999999;-77.03159129999999;680000.0;
2146;Departamento en Venta Jesus Maria, Lima;Jesus Maria;102.0;3.0;3.0;-12.082811999999999;-77.05137939999997;190000.0;
2147;Departamento en Venta La Molina, Lima;La Molina;240.0;4.0;3.0;-12.082019599999999;-76.92823399999997;320000.0;
2148;Departamento en Venta Castilla (p), Miraflores, Lima;Miraflores;208.0;3.0;3.0;-12.121633500000002;-77.01631029999999;598736.0;
2149;Departamento en Venta Avenida Reynaldo Vivanco, Santiago De Surco, Lima;Santiago de Surco;368.0;3.0;3.5;-12.119571004767225;-76.98199779049071;590000.0;
2150;Duplex en Venta Tudela Y Varela (m), San Isidro, Lima;San Isidro;186.0;3.0;4.0;-12.1083561;-77.04044269999997;600000.0;
2151;Departamento en Venta Leonidas Avedaño, Miraflores, Lima;Miraflores;123.0;3.0;3.0;-12.111061999999999;-77.03159129999999;340000.0;
2152;Departamento en Venta Avenida La Floresta, Santiago De Surco, Lima;Santiago de Surco;235.0;2.0;2.0;-12.115274699999999;-76.98722129999999;658000.0;
2153;Departamento en Venta Calle Paul De Beaudiez, San Isidro, Lima;San Isidro;349.0;3.0;3.5;-12.10410614301434;-77.05335468308107;1223116.0;
2154;Departamento en Venta El Rosario (p), San Isidro, Lima;San Isidro;139.0;3.0;3.0;-12.0978975;-77.04133439999998;326000.0;
2155;Departamento en Venta Calle, La Molina, Lima;La Molina;97.0;3.0;3.0;-12.082019599999999;-76.92823399999997;135000.0;
2156;Departamento en Venta Lince, Lima;Lince;87.0;3.0;2.0;-12.0853194;-77.03577610000002;151891.0;
2157;Departamento en Venta Golf Y Boulevard Roosevelt, San Isidro, Lima;San Isidro;230.0;3.0;3.0;-12.1032564;-77.04476549999998;865000.0;
2158;Duplex en Venta Malecon Cisneros (p), Miraflores, Lima;Miraflores;234.0;4.0;4.0;-12.1228587;-77.04008970000002;851276.0;
2159;Departamento en Venta Lizardo Alzamora Oeste, San Isidro, Lima;San Isidro;256.0;3.0;2.5;-12.0985177;-77.0426827;660000.0;
2160;Departamento en Venta Los Cedros (p), San Isidro, Lima;San Isidro;247.0;3.0;4.0;-12.0971829;-77.03258499999998;738000.0;
2161;Departamento en Venta La Molina, Lima;La Molina;153.0;3.0;3.0;-12.118017199999999;-76.93380680000001;190000.0;
2162;Departamento en Venta Av El Rosario Esquina Calle La Cipreces 180 Dpto 102, San Isidro, Lima;San Isidro;375.0;3.0;5.0;-12.0963949;-77.040614;1250000.0;
2163;Departamento en Venta Calle Almirante Lord Cochrane 456, Miraflores, Perú, Miraflores, Lima;Miraflores;180.0;3.0;3.0;-12.1103679;-77.04130910000003;513000.0;
2164;Departamento en Venta Calle General Muñiz, San Isidro, Lima;San Isidro;230.0;3.0;3.5;-12.1032564;-77.04476549999998;987000.0;
2165;Duplex en Venta Barranco, Lima;Barranco;106.0;2.0;2.0;-12.1437266;-77.01902280000002;185000.0;
2166;Departamento en Venta Altura Ovalo Bolognesi, Miraflores, Lima;Miraflores;211.0;3.0;3.0;-12.124292199597216;-77.03585369999995;285000.0;
2167;Penthouse en Venta Av. De Los Precursores (a), Santiago De Surco, Lima;Santiago de Surco;271.0;3.0;4.0;-12.115817199999999;-76.979987;485000.0;
2168;Departamento en Venta Av. De Los Precursores (a), Santiago De Surco, Lima;Santiago de Surco;136.0;3.0;3.0;-12.115817199999999;-76.979987;294000.0;
2169;Departamento en Venta Av. De Los Precursores (a), Santiago De Surco, Lima;Santiago de Surco;136.0;3.0;3.0;-12.115817199999999;-76.979987;294000.0;
2170;Departamento en Venta Calle Triana N°xxx, Dpto. 506, Miraflores, Lima;Miraflores;183.0;3.0;2.5;-12.114431300000001;-77.04139069999997;557449.0;
2171;Departamento en Venta Miraflores, Lima;Miraflores;108.0;3.0;2.0;-12.1175;-77.04305;216000.0;
2172;Departamento en Venta Innova Schools, San Miguel, Lima;San Miguel;70.0;3.0;2.0;-12.077492999999999;-77.09340170000002;111044.0;
2173;Departamento en Venta Mariscal Castilla (p), Miraflores, Lima;Miraflores;461.0;3.0;4.0;-12.1218839;-77.01305960000002;1157760.0;
2174;Departamento en Venta San Borja, Lima;San Borja;136.0;3.0;2.0;-12.0972833;-76.99510409999998;280000.0;
2175;Departamento en Venta Calle Triana N°xxx, Dpto. 306, Miraflores, Lima;Miraflores;185.0;3.0;2.5;-12.114431300000001;-77.04139069999997;548310.0;
2176;Duplex en Venta Calle Porta, Miraflores, Lima;Miraflores;117.0;2.0;3.0;-12.111061999999999;-77.03159129999999;301160.0;
2177;Departamento en Venta Calle Triana N°xxx, Dpto. 505, Miraflores, Lima;Miraflores;183.0;3.0;2.5;-12.114431300000001;-77.04139069999997;556717.0;
2178;Departamento en Venta Malecon Cisneros, Miraflores, Lima;Miraflores;305.0;4.0;4.0;-12.111061999999999;-77.03159129999999;1403000.0;
2179;Departamento en Venta Calle Casimiro Espejo N°1xx, Dpto. 702, Urb. Olivar, San Isidro, Lima;San Isidro;162.0;3.0;2.5;-12.1064716;-77.01389999999998;455000.0;
2180;Departamento en Venta Calle Vanderghen (p), San Isidro, Lima;San Isidro;222.0;3.0;4.0;-12.1106465;-77.03994740000002;753790.0;
2181;Departamento en Venta Malecon Cisneros, Miraflores, Lima;Miraflores;262.0;3.0;4.0;-12.111061999999999;-77.03159129999999;1153328.0;
2182;Departamento en Venta Calle Triana N°xxx, Dpto. 405, Miraflores, Lima;Miraflores;183.0;3.0;2.5;-12.114431300000001;-77.04139069999997;556717.0;
2183;Duplex en Venta Calle Los Cedros (p), San Isidro, Lima;San Isidro;276.0;2.0;5.0;-12.0956869;-77.04359039999997;610000.0;
2184;Departamento en Venta Av. Santa Cruz., Miraflores, Lima;Miraflores;180.0;3.0;2.0;-12.11078505898458;-77.03712990145884;345000.0;
2185;Departamento en Venta Torre Tagle, Miraflores, Lima;Miraflores;131.0;2.0;2.0;-12.117543199999998;-77.03853379999998;215000.0;
2186;Departamento en Venta Lince, Lima;Lince;87.0;3.0;2.0;-12.0853194;-77.03577610000002;151891.0;
2187;Departamento en Venta Av. General Cordova (p), Miraflores, Lima;Miraflores;130.0;2.0;3.0;-12.1122823;-77.04535899999995;325000.0;
2188;Departamento en Venta La Molina, Lima, Lima Departamento;Cercado de Lima;175.0;3.0;4.0;-12.082019599999999;-76.92823399999997;365000.0;
2189;Departamento en Venta San Miguel, Lima;San Miguel;80.0;3.0;2.0;-12.074914999999999;-77.08975129999997;123000.0;
2190;Departamento en Venta Calle Vanderghen (p), San Isidro, Lima;San Isidro;264.0;3.0;5.0;-12.1106465;-77.03994740000002;873510.0;
2191;Duplex en Venta Miraflores, Lima;Miraflores;289.0;2.0;5.0;-12.1243222;-77.00879320000001;599000.0;
2192;Departamento en Venta Calle San Fernando Miraflores (p), Miraflores, Lima;Miraflores;135.0;2.0;4.0;-12.133305;-77.02621599999998;419554.0;
2193;Departamento en Venta Universidad Del Pacífico, Lince, Lima;Lince;87.0;3.0;2.0;-12.0853194;-77.03577610000002;151891.0;
2194;Departamento en Venta Marriot, Miraflores, Lima;Miraflores;122.0;2.0;2.5;-12.123322;-77.02775190000001;296190.0;
2195;Departamento en Venta Malecon Cisneros (p), Miraflores, Lima;Miraflores;205.0;2.0;4.0;-12.1228587;-77.04008970000002;639278.0;
2196;Departamento en Venta Barranco, Lima;Barranco;80.0;3.0;2.0;-12.1437266;-77.01902280000002;144000.0;
2197;Departamento en Venta Calle 2, San Borja, Lima;San Borja;282.0;3.0;2.5;-12.092165712282267;-76.9840148041992;450000.0;
2198;Departamento en Venta Malecon Grau, Magdalena Del Mar, Lima;Magdalena del Mar;78.0;1.0;1.0;-12.090435300000001;-77.069999;131258.0;
2199;Departamento en Venta Malecon Balta Xxx, Miraflores, Lima;Miraflores;318.0;5.0;5.5;-12.123577300000001;-77.03247010000003;575000.0;
2200;Departamento en Venta Urb . Santa Constanza, Santiago De Surco, Lima;Santiago de Surco;120.0;3.0;4.0;-12.084088000000001;-76.97662200000002;215000.0;
2201;Departamento en Venta Calle General Muñiz, San Isidro, Lima;San Isidro;505.0;3.0;3.5;-12.1032564;-77.04476549999998;1730399.0;
2202;Departamento en Venta Malecon Cisneros (p), Miraflores, Lima;Miraflores;205.0;3.0;4.0;-12.1228587;-77.04008970000002;639278.0;
2203;Departamento en Venta Jr. Las Ortigas 1037, San Juan De Lurigancho, Lima;San Juan de Lurigancho;60.0;2.0;1.0;-12.01187465174864;-77.0089181397949;45018.0;
2204;Departamento en Venta Miraflores, Lima;Miraflores;150.0;3.0;3.0;-12.111061999999999;-77.03159129999999;299000.0;
2205;Departamento en Venta San Juan De Lurigancho, Lima;San Juan de Lurigancho;60.0;2.0;1.0;-12.0116327;-77.0086973;45018.0;
2206;Departamento en Venta La Molina, Lima;La Molina;162.0;3.0;3.0;-12.118017199999999;-76.93380680000001;195000.0;
2207;Departamento en Venta Ignacio Merino (p), Miraflores, Lima;Miraflores;253.0;4.0;5.0;-12.11309;-77.045546;732453.0;
2208;Departamento en Venta Malecon Cisneros (p), Miraflores, Lima;Miraflores;229.0;4.0;5.0;-12.1228587;-77.04008970000002;778779.0;
2209;Departamento en Venta San Isidro, Lima;San Isidro;284.0;4.0;4.0;-12.0971829;-77.03258499999998;620000.0;
2210;Departamento en Venta El Rosario (p), Miraflores, Lima;Miraflores;126.0;3.0;4.0;-12.1147782;-77.03990369999997;316000.0;
2211;Departamento en Venta Jacinto Lara San Isidro (p), San Isidro, Lima;San Isidro;285.0;3.0;5.0;-12.107064;-77.04606059999998;1152850.0;
2212;Departamento en Venta Las Casuarinas Sur, Santiago De Surco, Lima;Santiago de Surco;156.0;3.0;2.0;-12.1416088;-76.99181550000003;280000.0;
2213;Duplex en Venta Calle Vanderghen (p), San Isidro, Lima;San Isidro;424.0;3.0;5.0;-12.1106465;-77.03994740000002;999376.0;
2214;Departamento en Venta San Isidro, Lima;San Isidro;133.0;3.0;2.5;-12.0971829;-77.03258499999998;310000.0;
2215;Departamento en Venta Calle Los Cedros (p), San Isidro, Lima;San Isidro;247.0;3.0;4.0;-12.0956869;-77.04359039999997;738000.0;
2216;Departamento en Venta Calle Triana N°xxx, Dpto. 605, Miraflores, Lima;Miraflores;183.0;3.0;2.5;-12.114431300000001;-77.04139069999997;566587.0;
2217;Penthouse en Venta Calle Toquepala Xxx, Surco, Santiago De Surco, Lima;Santiago de Surco;370.0;4.0;3.5;-12.116605;-76.99127750000002;595000.0;
2218;Departamento en Venta Pezet (p), San Isidro, Lima;San Isidro;180.0;2.0;2.0;-12.1031294;-77.0474964;548756.0;
2219;Departamento en Venta Calle, Pueblo Libre, Lima;Pueblo Libre;147.0;3.0;3.0;-12.0787583;-77.06554150000001;268788.0;
2220;Departamento en Venta Calle Leonidas Avedaño, Miraflores, Lima;Miraflores;194.0;3.0;3.0;-12.111061999999999;-77.03159129999999;453500.0;
2221;Departamento en Venta San Miguel, Lima;San Miguel;73.0;3.0;2.0;-12.077492999999999;-77.09340170000002;98930.0;
2222;Departamento en Venta Calle Triana N°xxx, Dpto. 705 Ph, Miraflores, Lima;Miraflores;338.0;3.0;3.5;-12.114431300000001;-77.04139069999997;796080.0;
2223;Departamento en Venta Calle San Fernando Miraflores, (p), Miraflores, Lima;Miraflores;135.0;2.0;4.0;-12.133305;-77.02621599999998;419554.0;
2224;Departamento en Venta Calle Triana N°xxx, Dpto. 702 Ph, Miraflores, Lima;Miraflores;401.0;3.0;3.5;-12.114431300000001;-77.04139069999997;917800.0;
2225;Duplex en Venta Parque Sur, (g), San Isidro, Lima;San Isidro;270.0;2.0;3.0;-12.1028711;-77.01132369999998;421082.0;
2226;Departamento en Venta Estadio Unión., Barranco, Lima;Barranco;60.0;3.0;2.0;-12.152772467066672;-77.01961304816284;87000.0;
2227;Departamento en Venta Av. Perimetrica 326, San Juan De Lurigancho, Lima;San Juan de Lurigancho;93.0;3.0;2.0;-11.9689301;-76.99398359999998;95000.0;
2228;Departamento en Venta Calle San Fernando Miraflores (p), Miraflores, Lima;Miraflores;135.0;2.0;3.0;-12.133305;-77.02621599999998;419802.0;
2229;Departamento en Venta Lomas De La Molina, La Molina, Lima;La Molina;100.0;3.0;2.0;-12.0706106;-76.9026073;175000.0;
2230;Penthouse en Venta Juan Antonio Pezet Xxx, San Isidro, Lima;San Isidro;826.0;4.0;4.0;-12.102526800000001;-77.04397799999998;3000000.0;
2231;Departamento en Venta Calle Contralmirante Montero, Miraflores, Lima;Miraflores;118.0;3.0;2.0;-12.111061999999999;-77.03159129999999;150000.0;
2232;Departamento en Venta Vanderghen, Miraflores, Lima;Miraflores;295.0;3.0;3.5;-12.110656;-77.0400363;940000.0;
2233;Penthouse en Venta Calle Triana, Miraflores, Lima;Miraflores;295.0;3.0;3.5;-12.114431300000001;-77.04139069999997;807629.0;
2234;Departamento en Venta Malecón Cisneros, Lima 15074, Perú, Miraflores, Lima;Miraflores;181.0;1.0;2.0;-12.111061999999999;-77.03159129999999;688484.0;
2235;Departamento en Venta Calle Triana N°xxx, Dpto. 305, Miraflores, Lima;Miraflores;183.0;3.0;2.5;-12.114431300000001;-77.04139069999997;547590.0;
2236;Departamento en Venta Allamanda, Santiago De Surco, Lima;Santiago de Surco;189.0;3.0;2.5;-12.0693796;-76.93857809999997;392092.0;
2237;Departamento en Venta Calle San Fernando Miraflores (p), Miraflores, Lima;Miraflores;131.0;2.0;3.0;-12.133305;-77.02621599999998;408084.0;
2238;Departamento en Venta Calle Vanderghen (p), San Isidro, Lima;San Isidro;217.0;3.0;4.0;-12.1106465;-77.03994740000002;718410.0;
2239;Departamento en Venta Parque Sur, (g), San Isidro, Lima;San Isidro;245.0;3.0;4.0;-12.1028711;-77.01132369999998;379000.0;
2240;Departamento en Venta Parque Sur, (g), San Isidro, Lima;San Isidro;155.0;3.0;4.0;-12.1028711;-77.01132369999998;302500.0;
2241;Departamento en Venta Monterrico (p), Santiago De Surco, Lima;Santiago de Surco;200.0;3.0;4.0;-12.113400599999999;-76.99865840000002;390000.0;
2242;Departamento en Venta Malecon Cisneros, Miraflores, Lima;Miraflores;225.0;3.0;4.0;-12.111061999999999;-77.03159129999999;798750.0;
2243;Departamento en Venta San Isidro, Lima;San Isidro;292.0;3.0;6.0;-12.0971829;-77.03258499999998;790000.0;
2244;Departamento en Venta Calle Los Cedros (p), San Isidro, Lima;San Isidro;247.0;3.0;4.0;-12.0956869;-77.04359039999997;738000.0;
2245;Departamento en Venta Miguel Dasso, Miraflores, Lima;Miraflores;340.0;3.0;3.5;-12.111061999999999;-77.03159129999999;840000.0;
2246;Departamento en Venta Calle Triana N°xxx, Dpto. 104, Miraflores, Lima;Miraflores;197.0;3.0;3.5;-12.114431300000001;-77.04139069999997;596166.0;
2247;Duplex en Venta Alt. Cdra. 17 De San Borja Norte, Santiago De Surco, Lima;Santiago de Surco;282.0;3.0;2.5;-12.1416088;-76.99181550000003;450000.0;
2248;Departamento en Venta La Molina, Lima;La Molina;168.0;3.0;4.0;-12.082019599999999;-76.92823399999997;352000.0;
2249;Departamento en Venta San Isidro, Lima;San Isidro;130.0;3.0;2.0;-12.0971829;-77.03258499999998;350000.0;
2250;Departamento en Venta Parque Candamo De La Fuente, San Miguel, Lima;San Miguel;70.0;3.0;2.0;-12.077492999999999;-77.09340170000002;111044.0;
2251;Penthouse en Venta Calle Triana N°xxx, Dpto. 702, Miraflores, Lima;Miraflores;401.0;3.0;3.5;-12.114431300000001;-77.04139069999997;917800.0;
